,pred,std,lat,lon
0,3.4212558,0.9158767,35.0,75.25
1,0.44742188,0.9557999,34.5,78.75
2,2.3577187,0.92295784,36.0,74.0
3,3.2468555,0.91421384,33.75,76.25
4,0.32117835,0.9705363,33.5,80.0
5,0.666544,0.979203,31.5,80.75
6,1.0761316,0.923701,33.75,77.75
7,0.7125672,0.9581452,31.5,80.25
8,1.794495,0.9232777,35.5,76.75
9,0.2854351,0.9845116,34.0,80.25
10,1.6099983,0.93893737,36.75,73.5
11,0.4913732,1.0002141,31.5,81.5
12,0.47627077,0.9591082,33.75,79.0
13,0.28373033,0.99890953,32.0,81.75
14,0.22721708,1.0046879,34.0,80.5
15,1.0202165,0.92889637,34.5,77.75
16,3.326938,0.91568124,34.25,76.0
17,3.458025,0.91658413,35.25,74.25
18,3.5529156,0.91643703,34.25,75.75
19,1.6320257,0.93389416,36.0,76.25
20,0.30925018,0.9764528,32.75,80.0
21,1.8247204,0.9227879,36.0,76.0
22,2.5981202,0.91935825,36.0,73.75
23,0.24492049,0.9996265,33.0,81.0
24,0.35095003,0.96328366,33.5,79.5
25,3.5379333,0.9242695,35.25,73.25
26,0.2749453,0.9894068,32.5,80.75
27,0.43658924,0.96579313,32.75,79.75
28,1.3443854,0.93194014,36.75,75.5
29,3.6097336,0.9166139,35.25,74.0
30,0.6216794,0.93815756,33.0,79.0
31,1.0240892,0.9514237,37.0,74.75
32,0.70154625,0.93795943,33.25,78.5
33,2.9766753,0.9130469,35.75,74.25
34,0.5185107,0.95378983,32.5,79.5
35,0.39880937,0.95788854,33.25,79.75
36,1.919157,0.9284098,36.25,73.5
37,0.25893584,1.0042067,32.25,81.5
38,1.2928426,0.9328071,32.75,78.0
39,3.1061277,0.92359746,35.75,72.5
40,3.522873,0.95018184,34.75,72.25
41,0.36738238,0.9596903,33.5,79.25
42,2.054995,0.92594844,36.25,74.25
43,0.24269155,1.0023111,33.75,80.75
44,2.6752348,0.91297054,35.25,76.0
45,3.771381,0.92376757,34.25,75.5
46,2.2972476,0.9175131,36.0,75.0
47,0.22950217,1.003313,34.25,80.5
48,0.46452132,0.95540273,33.25,79.0
49,2.0552983,0.92167133,36.25,75.0
50,2.3446822,0.91882896,33.5,77.0
51,3.3940167,0.9551939,34.25,72.75
52,3.1277685,0.9246312,35.5,73.0
53,3.5589619,0.94932544,34.25,73.5
54,0.42685366,0.96383214,32.25,80.0
55,0.5489709,0.95322,32.75,79.25
56,0.7880777,0.9345538,34.5,78.0
57,2.0342546,0.9188805,33.75,77.0
58,0.32307082,0.99593496,32.0,81.5
59,2.0193613,0.9230909,36.25,73.75
60,3.308768,0.9235009,35.5,72.75
61,0.5635935,0.9586455,32.0,79.75
62,0.67328167,0.9484814,35.25,78.25
63,3.5405483,0.94149065,35.0,72.5
64,0.5443555,0.9899898,31.0,81.5
65,1.1108525,0.9234156,34.75,77.5
66,2.6110556,0.9287773,36.0,72.5
67,2.325583,0.9179387,35.75,75.75
68,3.2005925,0.9682583,34.0,73.0
69,2.866412,0.9093452,34.5,76.25
70,0.7963861,0.93537456,35.0,78.0
71,0.24880473,0.9972526,33.75,80.5
72,1.0721952,0.9252607,33.25,78.0
73,0.3226301,0.9766265,32.5,81.25
74,1.3441283,0.9414846,37.0,74.5
75,3.495224,0.9147721,34.75,75.5
76,3.7884815,0.92025334,35.0,74.0
77,3.8646533,0.9197556,35.0,73.75
78,0.35215312,0.96567655,34.0,79.25
79,1.5074551,0.91917133,33.5,77.5
80,3.5008686,0.91396356,34.0,76.0
81,0.6355611,0.9418009,34.25,78.25
82,0.28603372,0.9793856,34.0,80.0
83,0.31707385,1.0148591,31.25,81.75
84,3.6229637,0.91879517,35.25,73.75
85,2.4047544,0.9343507,36.25,72.5
86,2.5441918,0.9099627,33.75,76.75
87,2.273019,0.9159471,35.5,76.25
88,1.0584911,0.92758465,34.25,77.75
89,1.5765957,0.9276816,35.5,77.0
90,2.5682645,0.91528475,35.5,75.75
91,0.93493336,0.9411703,35.25,77.75
92,1.2670633,0.9387025,37.0,73.75
93,0.9304596,0.9329639,33.5,78.0
94,0.3979126,0.9557461,33.25,79.5
95,0.42980355,0.9519809,33.75,78.75
96,0.99818957,0.94826037,37.0,74.25
97,0.27882412,0.9909759,34.25,80.25
98,3.5447755,0.9183558,35.0,75.0
99,1.1333598,0.92406696,34.5,77.5
